koeder_a,koeder_b,n_a,n_b,mean_total_a,mean_total_b,u_stat,p_value,p_value_holm,p_value_bh,significant_holm,significant_bh,sig_label_raw,sig_label_holm
control,fischmix,4,2,0.25,23.5,0.0,0.08515236916112591,0.9947925061757699,0.2142791793882468,False,False,ns,ns
control,mackerel,4,3,0.25,14.666666666666666,0.0,0.04359664488554136,0.6539496732831204,0.2142791793882468,False,False,*,ns
control,sargassum,4,3,0.25,4.333333333333333,0.5,0.06396891699082884,0.8955648378716037,0.2142791793882468,False,False,ns,ns
control,ulva_gutweed,4,3,0.25,0.3333333333333333,5.5,1.0,1.0,1.0,False,False,ns,ns
control,ulva_salad,4,3,0.25,2.3333333333333335,1.0,0.08571167175529873,0.9947925061757699,0.2142791793882468,False,False,ns,ns
fischmix,mackerel,2,3,23.5,14.666666666666666,4.0,0.8,1.0,0.8571428571428571,False,False,ns,ns
fischmix,sargassum,2,3,23.5,4.333333333333333,6.0,0.2,1.0,0.25,False,False,ns,ns
fischmix,ulva_gutweed,2,3,23.5,0.3333333333333333,6.0,0.1386406338132186,1.0,0.231067723022031,False,False,ns,ns
fischmix,ulva_salad,2,3,23.5,2.3333333333333335,6.0,0.1386406338132186,1.0,0.231067723022031,False,False,ns,ns
mackerel,sargassum,3,3,14.666666666666666,4.333333333333333,8.0,0.2,1.0,0.25,False,False,ns,ns
mackerel,ulva_gutweed,3,3,14.666666666666666,0.3333333333333333,9.0,0.07652250047505922,0.9947925061757699,0.2142791793882468,False,False,ns,ns
mackerel,ulva_salad,3,3,14.666666666666666,2.3333333333333335,9.0,0.07652250047505922,0.9947925061757699,0.2142791793882468,False,False,ns,ns
sargassum,ulva_gutweed,3,3,4.333333333333333,0.3333333333333333,8.5,0.11568802229950938,1.0,0.231067723022031,False,False,ns,ns
sargassum,ulva_salad,3,3,4.333333333333333,2.3333333333333335,6.0,0.6428348264908044,1.0,0.7417324921047742,False,False,ns,ns
ulva_gutweed,ulva_salad,3,3,0.3333333333333333,2.3333333333333335,1.0,0.15729920705028502,1.0,0.23594881057542755,False,False,ns,ns
