filename,date,standort,koeder,species_richness,maxn_video_peak,first_seen_median_sec,visibility_min,visibility_max,visibility_mean,n_plan_rows,n_plan_vis_nonnull
20240106-nursery-mackerel.csv,20240106,nursery,mackerel,29,7,192.728629,6.0,6.0,6.0,1,1
20240108-nursery-control.csv,20240108,nursery,control,29,8,181.340931,5.0,5.0,5.0,1,1
20240223-nursery-mackerel.csv,20240223,nursery,mackerel,33,18,131.662621,6.0,6.0,6.0,1,1
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,53,105,152.5104999,15.0,15.0,15.0,1,1
20240516-utumbi-mackerel.csv,20240516,utumbi,mackerel,61,121,184.7579668,20.0,20.0,20.0,1,1
20241025-milimani-mackerel.csv,20241025,milimani,mackerel,34,82,279.8398922465,15.0,15.0,15.0,1,1
20241025-utumbi-ulva_salad.csv,20241025,utumbi,ulva_salad,48,140,199.5247454465836,15.0,15.0,15.0,1,1
20241026-milimani-ulva_gutweed.csv,20241026,milimani,ulva_gutweed,39,21,382.317859,10.0,10.0,10.0,1,1
20241026-utumbi-mackerel.csv,20241026,utumbi,mackerel,49,127,219.3018837065012,10.0,10.0,10.0,1,1
20241027-milimani-ulva_salad.csv,20241027,milimani,ulva_salad,40,11,354.93330362403844,10.0,10.0,10.0,1,1
20241027-utumbi-ulva_salad.csv,20241027,utumbi,ulva_salad,55,64,538.6255454319692,10.0,10.0,10.0,1,1
20241029-milimani-ulva_gutweed.csv,20241029,milimani,ulva_gutweed,49,18,570.7129387660007,12.0,12.0,12.0,1,1
20241029-utumbi-ulva_gutweed.csv,20241029,utumbi,ulva_gutweed,50,56,422.4546705413353,12.0,12.0,12.0,1,1
20241030-milimani-ulva_gutweed.csv,20241030,milimani,ulva_gutweed,46,73,497.3830013388364,10.0,10.0,10.0,1,1
20241030-utumbi-ulva_gutweed.csv,20241030,utumbi,ulva_gutweed,54,35,462.2076668086685,10.0,10.0,10.0,1,1
20241105-milimani-ulva_salad.csv,20241105,milimani,ulva_salad,31,38,894.5196159,5.0,5.0,5.0,1,1
20241105-utumbi-control.csv,20241105,utumbi,control,44,112,104.40300765,5.0,5.0,5.0,1,1
20241110-milimani-ulva_salad.csv,20241110,milimani,ulva_salad,57,99,408.9621283,7.0,7.0,7.0,1,1
20241110-utumbi-ulva_salad.csv,20241110,utumbi,ulva_salad,52,87,621.45146545,7.0,7.0,7.0,1,1
20241111-milimani-control.csv,20241111,milimani,control,46,125,815.3971613,13.0,13.0,13.0,1,1
20241111-utumbi-control.csv,20241111,utumbi,control,50,55,297.17690235,13.0,13.0,13.0,1,1
20241112-milimani-ulva_salad.csv,20241112,milimani,ulva_salad,43,123,535.1086171,10.0,10.0,10.0,1,1
20241112-utumbi-ulva_gutweed.csv,20241112,utumbi,ulva_gutweed,55,66,446.359034,10.0,10.0,10.0,1,1
20241114-milimani-control.csv,20241114,milimani,control,36,72,495.0034373909991,10.0,10.0,10.0,1,1
20241114-utumbi-control.csv,20241114,utumbi,control,43,28,452.770509366,10.0,10.0,10.0,1,1
20241115-milimani-control.csv,20241115,milimani,control,45,56,257.1605286,10.0,10.0,10.0,1,1
20241115-utumbi-control.csv,20241115,utumbi,control,54,83,390.36928095,10.0,10.0,10.0,1,1
20241124-milimani-mackerel.csv,20241124,milimani,mackerel,57,40,388.5472273,7.0,7.0,7.0,1,1
20241124-utumbi-mackerel.csv,20241124,utumbi,mackerel,50,94,461.32443325,12.0,12.0,12.0,1,1
20241126-nursery-mackerel.csv,20241126,nursery,mackerel,41,30,121.159542,6.0,6.0,6.0,1,1
20241127-milimani-sargassum.csv,20241127,milimani,sargassum,43,42,510.184661248336,10.0,10.0,10.0,1,1
20241127-utumbi-sargassum.csv,20241127,utumbi,sargassum,54,54,424.67798564449726,10.0,10.0,10.0,1,1
20241128-milimani-sargassum.csv,20241128,milimani,sargassum,46,171,327.1720629,10.0,10.0,10.0,1,1
20241128-utumbi-sargassum.csv,20241128,utumbi,sargassum,61,62,409.4634603,10.0,10.0,10.0,1,1
20241129-milimani-sargassum.csv,20241129,milimani,sargassum,46,129,470.855252,15.0,15.0,15.0,1,1
20241129-utumbi-sargassum.csv,20241129,utumbi,sargassum,56,34,412.6892231000001,15.0,15.0,15.0,1,1
20241204-nursery-algae_strings.csv,20241204,nursery,algae_strings,38,23,384.38582,5.0,5.0,5.0,1,1
20241205-nursery-algae_strings.csv,20241205,nursery,algae_strings,34,14,222.5204925,5.0,5.0,5.0,1,1
20241206-nursery-algae_strings.csv,20241206,nursery,algae_strings,35,23,252.4745,5.0,5.0,5.0,1,1
20241208-nursery-algaemix.csv,20241208,nursery,algaemix,43,43,433.3108554,5.0,5.0,5.0,1,1
20241209-nursery-algaemix.csv,20241209,nursery,algaemix,41,45,230.6871168,6.0,6.0,6.0,1,1
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,60,49,415.5690528,17.0,17.0,17.0,1,1
20241210-milimani-fischmix.csv,20241210,milimani,fischmix,45,56,109.1312047,15.0,15.0,15.0,1,1
20241210-nursery-algaemix.csv,20241210,nursery,algaemix,33,21,288.776395,5.0,5.0,5.0,1,1
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,52,27,383.33365955,15.0,15.0,15.0,1,1
20251212-nursery-mackerel.csv,20251212,nursery,mackerel,36,11,173.662391,5.0,5.0,5.0,1,1
