filename,site,bait,bait_type,angelfishes,blennies,butterflyfishes,elongate_sand_burrow_dwellers,emperors,filefishes,goatfishes,groupers_large,hawkfishes,moorish_idol,parrotfishes,puffers,rabbitfishes,small_ovals_damselfishes,snappers,surgeonfishes,triggerfishes,trumpetfishes,wrasses
20240515-milimani-mackerel.csv,milimani,mackerel,fish,4.0,3.0,3.0,2.0,5.0,1.0,3.0,1.0,1.0,2.0,16.0,2.0,2.0,105.0,1.0,7.0,2.0,1.0,4.0
20241025-milimani-mackerel.csv,milimani,mackerel,fish,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,82.0,3.0,67.0,2.0,1.0,5.0
20241026-milimani-ulva_gutweed.csv,milimani,ulva_gutweed,algae,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,21.0,1.0,5.0,1.0,1.0,2.0
20241027-milimani-ulva_salad.csv,milimani,ulva_salad,algae,3.0,2.0,2.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,12.0,2.0,2.0,10.0,0.0,5.0,1.0,1.0,2.0
20241029-milimani-ulva_gutweed.csv,milimani,ulva_gutweed,algae,3.0,1.0,2.0,0.0,6.0,0.0,6.0,1.0,0.0,1.0,9.0,2.0,2.0,18.0,1.0,4.0,1.0,1.0,2.0
20241030-milimani-ulva_gutweed.csv,milimani,ulva_gutweed,algae,3.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,5.0,1.0,2.0,73.0,1.0,4.0,1.0,0.0,2.0
20241105-milimani-ulva_salad.csv,milimani,ulva_salad,algae,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,38.0,0.0,5.0,1.0,0.0,2.0
20241110-milimani-ulva_salad.csv,milimani,ulva_salad,algae,4.0,1.0,4.0,1.0,6.0,3.0,2.0,1.0,1.0,0.0,4.0,2.0,2.0,99.0,1.0,10.0,2.0,1.0,2.0
20241111-milimani-control.csv,milimani,control,control,3.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,2.0,125.0,1.0,4.0,1.0,1.0,2.0
20241112-milimani-ulva_salad.csv,milimani,ulva_salad,algae,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0,9.0,1.0,2.0,180.0,0.0,4.0,1.0,1.0,2.0
20241114-milimani-control.csv,milimani,control,control,1.0,1.0,2.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,72.0,1.0,5.0,1.0,1.0,2.0
20241115-milimani-control.csv,milimani,control,control,2.0,1.0,2.0,0.0,1.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,56.0,1.0,4.0,1.0,1.0,4.0
20241124-milimani-mackerel.csv,milimani,mackerel,fish,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,6.0,0.0,2.0,40.0,2.0,38.0,2.0,0.0,3.0
20241127-milimani-sargassum.csv,milimani,sargassum,algae,2.0,0.0,2.0,0.0,15.0,0.0,11.0,2.0,0.0,0.0,4.0,3.0,2.0,42.0,2.0,5.0,2.0,1.0,2.0
20241128-milimani-sargassum.csv,milimani,sargassum,algae,2.0,1.0,4.0,1.0,1.0,2.0,6.0,2.0,0.0,1.0,27.0,0.0,0.0,171.0,2.0,3.0,2.0,1.0,2.0
20241129-milimani-sargassum.csv,milimani,sargassum,algae,4.0,1.0,4.0,0.0,9.0,2.0,1.0,1.0,1.0,0.0,5.0,1.0,0.0,129.0,2.0,5.0,1.0,1.0,3.0
20241210-milimani-fischmix.csv,milimani,fischmix,fish,2.0,0.0,3.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,6.0,0.0,2.0,56.0,8.0,3.0,2.0,0.0,6.0
