comparison_key,comparison,level,metric_source,taxon,n_present_videos_total,groups,mean_algae_strings,occ_algae_strings,n_algae_strings,mean_algaemix,occ_algaemix,n_algaemix,test,statistic,p_value,effect_name,effect_size,perm_p_value_mean_diff,p_value_holm,p_value_bh,sig_raw,sig_holm,sig_bh,significant_raw,significant_holm,significant_bh
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,species,species_maxn_by_taxon,bullethead (chlorurus sordidus),3,algae_strings | algaemix,2.0,1.0,3,0.0,0.0,3,Mann-Whitney U,9.0,0.1,cliffs_delta,1.0,0.1,1.0,0.9099999999999999,ns,ns,ns,False,False,False
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,species,species_maxn_by_taxon,longbarbel (parupeneus macronemus),6,algae_strings | algaemix,5.666666666666667,1.0,3,2.6666666666666665,1.0,3,Mann-Whitney U,9.0,0.1,cliffs_delta,1.0,0.1,1.0,0.9099999999999999,ns,ns,ns,False,False,False
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,species,species_maxn_by_taxon,blue barred (scarus ghobban),6,algae_strings | algaemix,4.0,1.0,3,2.0,1.0,3,Mann-Whitney U,8.5,0.2,cliffs_delta,0.8888888888888888,0.2,1.0,0.9099999999999999,ns,ns,ns,False,False,False
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,species,species_maxn_by_taxon,arabian monocle (scolopsis ghanam),6,algae_strings | algaemix,8.666666666666666,1.0,3,14.0,1.0,3,Mann-Whitney U,0.5,0.2,cliffs_delta,-0.8888888888888888,0.2,1.0,0.9099999999999999,ns,ns,ns,False,False,False
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,species,species_maxn_by_taxon,yellowhead (chaetodon xanthocephalus),5,algae_strings | algaemix,1.6666666666666667,1.0,3,0.6666666666666666,0.6666666666666666,3,Mann-Whitney U,8.0,0.2,cliffs_delta,0.7777777777777778,0.3,1.0,0.9099999999999999,ns,ns,ns,False,False,False
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,species,species_maxn_by_taxon,weber's puller (chromis weberi),4,algae_strings | algaemix,2.3333333333333335,1.0,3,0.3333333333333333,0.3333333333333333,3,Mann-Whitney U,8.5,0.2,cliffs_delta,0.8888888888888888,0.2,1.0,0.9099999999999999,ns,ns,ns,False,False,False
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,species,species_maxn_by_taxon,brown tang (zebrasoma scopas),4,algae_strings | algaemix,0.3333333333333333,0.3333333333333333,3,1.0,1.0,3,Mann-Whitney U,1.5,0.4,cliffs_delta,-0.6666666666666666,0.4,1.0,0.9099999999999999,ns,ns,ns,False,False,False
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,species,species_maxn_by_taxon,moon (thalassoma lunare),5,algae_strings | algaemix,0.6666666666666666,0.6666666666666666,3,1.3333333333333333,1.0,3,Mann-Whitney U,2.0,0.4,cliffs_delta,-0.5555555555555556,0.6,1.0,0.9099999999999999,ns,ns,ns,False,False,False
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,species,species_maxn_by_taxon,honeycomb (siganus stellatus),6,algae_strings | algaemix,2.6666666666666665,1.0,3,4.0,1.0,3,Mann-Whitney U,1.5,0.4,cliffs_delta,-0.6666666666666666,0.4,1.0,0.9099999999999999,ns,ns,ns,False,False,False
strings_vs_mix,Vergleich 1: algae_strings vs algaemix,species,species_maxn_by_taxon,yellowstripe (mulloidichthys flavolineatus),4,algae_strings | algaemix,1.6666666666666667,0.3333333333333333,3,4.333333333333333,1.0,3,Mann-Whitney U,2.0,0.4,cliffs_delta,-0.5555555555555556,0.3,1.0,0.9099999999999999,ns,ns,ns,False,False,False
